ID,Mobility and transportation,Imagery and GIS,Climate and environment,History and epistemology,Sustainability risk planning,Economic geography,Development territory system of cities,Urban dynamics,Statistics and modeling,Emotional geography
2436,0,0,0,0,0.4,0,0,0,0.6,0
2379,0,0,0,0,0.2857142857,0,0.2857142857,0.1428571429,0.2857142857,0
4750,0,0.1666666667,0.1666666667,0,0,0,0,0,0.6666666667,0
4792,0,0,0.1428571429,0,0,0.5714285714,0,0.2857142857,0,0
2381,0,0,0,0,0,0,0,0,1,0
3936,0,0.5,0,0,0,0,0,0.5,0,0
2389,0,0,0,0,0,0,0,0,1,0
2407,0,0,0,0,0,0,0,0,1,0
2420,0,0,0,0,0,0,0,0.1666666667,0.8333333333,0
2455,0,0.25,0,0,0,0.25,0.25,0.25,0,0
2463,0.7142857143,0,0,0,0,0,0.1428571429,0,0.1428571429,0
12063,0,0.2,0,0,0,0,0,0.8,0,0
2490,0,0,0,1,0,0,0,0,0,0
2500,0,0.3333333333,0,0.3333333333,0,0,0,0,0.3333333333,0
2654,0,0.25,0,0,0,0,0,0,0.75,0
2665,0,0.4,0,0.2,0.2,0,0.2,0,0,0
2508,0.4,0,0.2,0,0,0,0,0,0.4,0
2938,0,0.5714285714,0.1428571429,0,0,0,0,0,0.2857142857,0
2560,0,0,0,0.1666666667,0,0,0.3333333333,0.1666666667,0.1666666667,0.1666666667
2536,0,0,0,0.3333333333,0.6666666667,0,0,0,0,0
2549,0,0,0,0.75,0,0.25,0,0,0,0
2760,0,0,0.2,0,0,0,0.6,0.2,0,0
2575,0,0,0,0.3333333333,0.1666666667,0.1666666667,0.1666666667,0,0,0.1666666667
3430,0.5,0,0,0,0.1666666667,0,0,0.3333333333,0,0
3447,0,1,0,0,0,0,0,0,0,0
3843,0,0,0,0.5,0.25,0,0,0.25,0,0
6610,0,0.2,0,0.4,0,0.2,0,0,0.2,0
3859,0,0,0,0.5,0.5,0,0,0,0,0
2587,0.1666666667,0,0.1666666667,0.1666666667,0.3333333333,0,0.1666666667,0,0,0
3877,0,0,0,0.25,0,0,0,0.25,0.5,0
3884,0,0.4,0,0.2,0,0,0,0.2,0.2,0
2614,0,0.3333333333,0,0,0.6666666667,0,0,0,0,0
2621,0,0.5714285714,0,0.2857142857,0,0,0,0,0.1428571429,0
3501,0,0,0,1,0,0,0,0,0,0
3503,0,0.4,0,0.2,0,0,0,0,0.4,0
2761,0,0.5,0.5,0,0,0,0,0,0,0
2777,0.1666666667,0,0,0.1666666667,0.1666666667,0,0,0.1666666667,0.3333333333,0
4251,0.2,0,0,0.4,0,0,0,0.2,0.2,0
2790,0.6,0,0,0,0,0.4,0,0,0,0
2802,0,0,0,0.5,0,0,0.5,0,0,0
2811,0,0.2,0,0,0,0,0,0,0.8,0
2823,0,0,0.3333333333,0,0.3333333333,0,0,0,0.3333333333,0
2831,0.25,0.5,0.25,0,0,0,0,0,0,0
13093,0,0,0.3333333333,0.6666666667,0,0,0,0,0,0
12653,0.6666666667,0.2222222222,0,0,0,0,0,0,0.1111111111,0
2889,0,0.8,0,0,0.2,0,0,0,0,0
2898,0,0,0,0,0,0,0,0,1,0
