"","Authoring","Studied","N","c1","X_A","Y_A","c2","X_S","Y_S"
"252.165","FR","PE",1,"FR",2.46155981462731,46.6177606162003,"PE",-74.3618063528006,-9.17713832680157
"36.168","CA","PH",1,"CA",-102.515470389785,58.0403749386076,"PH",121.416802504013,15.9578185163233
"252.168","FR","PH",1,"FR",2.46155981462731,46.6177606162003,"PH",121.416802504013,15.9578185163233
"41.169","CH","PK",1,"CH",8.21011553875218,46.7903177203335,"PK",68.7913803405627,29.3539813650043
"219.169","UK","PK",1,"UK",-2.49101280471062,53.927081866194,"PK",68.7913803405627,29.3539813650043
"252.169","FR","PK",1,"FR",2.46155981462731,46.6177606162003,"PK",68.7913803405627,29.3539813650043
"36.170","CA","PL",1,"CA",-102.515470389785,58.0403749386076,"PL",19.414614965055,52.1241465321419
"41.170","CH","PL",2,"CH",8.21011553875218,46.7903177203335,"PL",19.414614965055,52.1241465321419
"182.170","RU","PL",1,"RU",99.1595613921392,61.6595873942864,"PL",19.414614965055,52.1241465321419
"252.170","FR","PL",17,"FR",2.46155981462731,46.6177606162003,"PL",19.414614965055,52.1241465321419
"252.174","FR","PS",2,"FR",2.46155981462731,46.6177606162003,"PS",35.2631738923317,31.9476601644991
"20.175","BE","PT",1,"BE",4.67174670598386,50.638844213958,"PT",-7.97070525588486,39.6482450309746
"36.175","CA","PT",1,"CA",-102.515470389785,58.0403749386076,"PT",-7.97070525588486,39.6482450309746
"41.175","CH","PT",1,"CH",8.21011553875218,46.7903177203335,"PT",-7.97070525588486,39.6482450309746
"252.175","FR","PT",21,"FR",2.46155981462731,46.6177606162003,"PT",-7.97070525588486,39.6482450309746
"36.179","CA","RO",1,"CA",-102.515470389785,58.0403749386076,"RO",24.974919542229,45.8436306613741
"41.179","CH","RO",1,"CH",8.21011553875218,46.7903177203335,"RO",24.974919542229,45.8436306613741
"252.179","FR","RO",11,"FR",2.46155981462731,46.6177606162003,"RO",24.974919542229,45.8436306613741
"36.180","CA","RS",1,"CA",-102.515470389785,58.0403749386076,"RS",20.801992047936,44.0357514010284
"41.180","CH","RS",1,"CH",8.21011553875218,46.7903177203335,"RS",20.801992047936,44.0357514010284
"252.180","FR","RS",4,"FR",2.46155981462731,46.6177606162003,"RS",20.801992047936,44.0357514010284
"36.181","CA","RU",3,"CA",-102.515470389785,58.0403749386076,"RU",99.1595613921392,61.6595873942864
"41.181","CH","RU",2,"CH",8.21011553875218,46.7903177203335,"RU",99.1595613921392,61.6595873942864
"187.181","SE","RU",1,"SE",16.744168368977,62.8398429422462,"RU",99.1595613921392,61.6595873942864
"219.181","UK","RU",1,"UK",-2.49101280471062,53.927081866194,"RU",99.1595613921392,61.6595873942864
"252.181","FR","RU",12,"FR",2.46155981462731,46.6177606162003,"RU",99.1595613921392,61.6595873942864
"20.182","BE","RW",1,"BE",4.67174670598386,50.638844213958,"RW",29.9233048598964,-1.99763271585651
"252.182","FR","RW",1,"FR",2.46155981462731,46.6177606162003,"RW",29.9233048598964,-1.99763271585651
"20.185","BE","SC",1,"BE",4.67174670598386,50.638844213958,"SC",55.4595115059186,-4.66595200464314
"252.185","FR","SC",1,"FR",2.46155981462731,46.6177606162003,"SC",55.4595115059186,-4.66595200464314
"36.186","CA","SE",1,"CA",-102.515470389785,58.0403749386076,"SE",16.744168368977,62.8398429422462
"182.186","RU","SE",1,"RU",99.1595613921392,61.6595873942864,"SE",16.744168368977,62.8398429422462
"219.186","UK","SE",1,"UK",-2.49101280471062,53.927081866194,"SE",16.744168368977,62.8398429422462
"252.186","FR","SE",13,"FR",2.46155981462731,46.6177606162003,"SE",16.744168368977,62.8398429422462
"41.187","CH","SG",1,"CH",8.21011553875218,46.7903177203335,"SG",103.793709503113,1.37238884994074
"219.187","UK","SG",1,"UK",-2.49101280471062,53.927081866194,"SG",103.793709503113,1.37238884994074
"252.187","FR","SG",2,"FR",2.46155981462731,46.6177606162003,"SG",103.793709503113,1.37238884994074
"36.189","CA","SI",1,"CA",-102.515470389785,58.0403749386076,"SI",14.843203928251,46.1138815263795
"41.189","CH","SI",1,"CH",8.21011553875218,46.7903177203335,"SI",14.843203928251,46.1138815263795
"252.189","FR","SI",5,"FR",2.46155981462731,46.6177606162003,"SI",14.843203928251,46.1138815263795
"41.191","CH","SK",1,"CH",8.21011553875218,46.7903177203335,"SK",19.4785165670106,48.6970336083744
"182.191","RU","SK",1,"RU",99.1595613921392,61.6595873942864,"SK",19.4785165670106,48.6970336083744
"252.191","FR","SK",11,"FR",2.46155981462731,46.6177606162003,"SK",19.4785165670106,48.6970336083744
"252.192","FR","SL",1,"FR",2.46155981462731,46.6177606162003,"SL",-11.767761968048,8.55133695435434
"221.194","US","SN",1,"US",-99.4425594967709,39.3961009899639,"SN",-14.470521050941,14.3535555961191
"252.194","FR","SN",11,"FR",2.46155981462731,46.6177606162003,"SN",-14.470521050941,14.3535555961191
"20.195","BE","SO",1,"BE",4.67174670598386,50.638844213958,"SO",45.8625319172982,6.07117938584196
"252.199","FR","SY",1,"FR",2.46155981462731,46.6177606162003,"SY",38.5322502459673,35.0102041659995
"252.200","FR","SZ",1,"FR",2.46155981462731,46.6177606162003,"SZ",31.5025955444554,-26.5553053826721
"252.204","FR","TG",2,"FR",2.46155981462731,46.6177606162003,"TG",0.976145445639386,8.52578367313849
"20.205","BE","TH",1,"BE",4.67174670598386,50.638844213958,"TH",101.027818309515,15.1214970045256
"252.205","FR","TH",1,"FR",2.46155981462731,46.6177606162003,"TH",101.027818309515,15.1214970045256
"252.206","FR","TJ",1,"FR",2.46155981462731,46.6177606162003,"TJ",71.0302506496385,38.5306516637842
"252.209","FR","TM",1,"FR",2.46155981462731,46.6177606162003,"TM",59.387328566335,39.108921719374
"67.210","ES","TN",1,"ES",-3.5535195957135,40.3911571272071,"TN",9.58109276662665,34.1230139285085
"159.210","NO","TN",1,"NO",14.0456175437801,64.246082695081,"TN",9.58109276662665,34.1230139285085
"252.210","FR","TN",6,"FR",2.46155981462731,46.6177606162003,"TN",9.58109276662665,34.1230139285085
"36.212","CA","TR",1,"CA",-102.515470389785,58.0403749386076,"TR",35.4418293912187,38.9981988812238
"252.212","FR","TR",4,"FR",2.46155981462731,46.6177606162003,"TR",35.4418293912187,38.9981988812238
"20.215","BE","TZ",1,"BE",4.67174670598386,50.638844213958,"TZ",34.8051084314875,-6.26860356358708
"252.215","FR","TZ",1,"FR",2.46155981462731,46.6177606162003,"TZ",34.8051084314875,-6.26860356358708
"36.216","CA","UA",1,"CA",-102.515470389785,58.0403749386076,"UA",31.4257335467867,48.9990730291945
"41.216","CH","UA",1,"CH",8.21011553875218,46.7903177203335,"UA",31.4257335467867,48.9990730291945
"252.216","FR","UA",4,"FR",2.46155981462731,46.6177606162003,"UA",31.4257335467867,48.9990730291945
"252.217","FR","UG",1,"FR",2.46155981462731,46.6177606162003,"UG",32.3888945743035,1.29426342158928
"36.218","CA","UK",2,"CA",-102.515470389785,58.0403749386076,"UK",-2.49101280471062,53.927081866194
