""	"0"	"0"
"7058230387842150561"	"0"	"0"
"13862902254521728979"	"0"	"38"
"8720811160786484235"	"8"	"0"
"10805606454998306419"	"0"	"0"
"59603030228961377"	"3"	"1"
"4004681274677533774"	"0"	"0"
"5262338330397019669"	"4"	"10"
"3331299383410697009"	"2"	"5"
"15823513342291472863"	"3"	"47"
"17314289872160605504"	"2"	"20"
"9843906196839047265"	"0"	"14"
"8226171741742931491"	"0"	"5"
"10845239633598044892"	"1"	"10"
"1761434165225949241"	"0"	"8"
"1218772990245989053"	"0"	"0"
"441706052397130957"	"0"	"0"
"5566597164543635971"	"0"	"0"
"9400493612275826109"	"1"	"1"
"14257865210444486682"	"15"	"29"
"9376357220309256063"	"0"	"0"
"10750278397057582076"	"0"	"0"
"15543612085317076943"	"8"	"0"
"5654362662439405497"	"0"	"0"
"11792576881837976183"	"0"	"1"
"4972157924856718091"	"2"	"6"
"15355217324313758672"	"0"	"0"
"10871350001999694759"	"0"	"4"
"15388912047777281765"	"9"	"3"
"2221625818015028354"	"28"	"13"
"12459206369630702571"	"1"	"4"
"16017213343505268075"	"0"	"0"
"7091107772334606196"	"0"	"0"
"14351847275245913222"	"0"	"0"
"18360624767748191644"	"1"	"12"
"1234608858332224257"	"2"	"1"
"16869696928940862918"	"0"	"0"
"9307185503430636070"	"0"	"0"
"668349723855649886"	"0"	"30"
"16854521648128466127"	"1"	"0"
"7710630604220137798"	"1"	"0"
"6434177407385527896"	"0"	"14"
"15636271386786249072"	"21"	"18"
"7462461922053662296"	"1"	"33"
"10440999740407627154"	"0"	"0"
"9822038686896572515"	"2"	"1"
"17369585424659807418"	"0"	"0"
"11795328865839393139"	"0"	"0"
"13495459281033859176"	"0"	"0"
"14258232744504586248"	"0"	"0"
"9369789144628550123"	"0"	"0"
"15181491109218818865"	"0"	"0"
"5435787132338316709"	"1"	"22"
"6062104595581281013"	"0"	"0"
"8516849664134525117"	"0"	"0"
"6990479990781795393"	"9"	"0"
"11514633189874160671"	"4"	"0"
"12736972122713802641"	"2"	"1"
"10514444330869688595"	"0"	"0"
"9463229217226430126"	"0"	"0"
"13204902852985018088"	"3"	"7"
"10371544298177760033"	"0"	"0"
"4515323814311613942"	"7"	"0"
"3541407695133336671"	"5"	"10"
"11019484068941706860"	"0"	"0"
"2009987668862926666"	"3"	"10"
"10143337843391659400"	"3"	"40"
